instance,optimal_value,model
160,6494920.589909614,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
161,8523041.281251932,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
162,8075707.687805318,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
163,7989673.399476849,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
164,8352091.555483863,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
165,6281004.016771965,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
166,5942522.867165682,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
167,5783472.063435328,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
168,6265751.553224012,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
169,6137636.075793028,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
170,8225179.760053547,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
171,6476776.405855988,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
172,6265889.714060022,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
173,8411502.874078,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
174,7641346.926603465,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
175,9401981.308929829,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
176,6720281.635175956,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
0,8059745.99056377,../Results/MSE_pred/MSE-prediction_test_epoch4.npy
1,8338414.021504549,../Results/MSE_pred/MSE-prediction_test_epoch4.npy
