subepoch,validation_regret,validation_mse,validation_loss,test_regret,test_mse,test_loss,time,hyperparams,total time,validation_relax
4567,39141.452598103,3668.52667120683,-4023103127552,21012.7149,4594.32077139743,-7993214631936,476.895376443863,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
4617,39141.452598103,3664.01684134053,-4057409912832,21012.71115953,4594.84555708419,-7995717058560,480.96434211731,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
4667,39141.452598103,3659.12022590641,-4091286388736,21012.7149,4591.20719766085,-8022289547264,484.870155572891,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
4717,39141.4398096396,3653.83043088341,-4126547116032,20734.33955,4582.54228730023,-8071204569088,488.881303071976,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
4767,39141.4398096396,3646.97398777295,-4182891167744,20734.33955,4565.04553054609,-8190165516288,493.012628555298,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
4817,39141.4398096395,3645.93111808766,-4231787839488,20734.33955,4545.23412753481,-8346506100736,497.324006319046,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
4867,39141.4398096396,3643.42730705813,-4287202852864,20734.33955,4532.58256483458,-8483520905216,501.354888677597,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
4917,39141.4398096396,3637.34732943322,-4355289120768,20734.33955,4535.26462201703,-8560004038656,505.891444683075,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
4967,36308.2959254257,3630.42153231558,-4424932130816,21571.6828,4534.0078771018,-8656933879808,509.894256353378,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
4969,36308.2959254258,3630.03338005201,-4427153932288,21571.6828,4533.7674979622,-8659790200832,512.399019956589,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
5019,36308.2959254257,3627.73558875987,-4469544189952,21571.6828,4516.40017150206,-8800115359744,516.645893573761,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
5069,36308.2959254257,3624.95866256784,-4517351915520,21012.7149,4512.21383416381,-8935999275008,520.831696987152,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
5119,36308.2959254257,3621.63640396379,-4553715220480,21012.7149,4516.47452383135,-8911090352128,524.920101881027,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
5169,39141.452598103,3617.16563236311,-4588002869248,21571.6828,4517.00707113839,-8931283828736,529.115833759308,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
5219,39141.4398096396,3612.27732081176,-4622028111872,20734.33955,4513.38423425583,-8957863133184,532.921843767166,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
5269,39141.4398096396,3607.01806022503,-4657304043520,20734.33955,4504.80037552573,-9006672248832,536.621650218964,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
5319,39141.4398096396,3600.23770620448,-4703205195776,20734.33955,4487.51014752278,-9125517852672,540.462902069092,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
5369,36308.2959254258,3599.24898326995,-4741595922432,20734.33955,4467.98934027071,-9281526038528,544.411289691925,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
5419,39141.4398096396,3596.83839522562,-4797975756800,20734.33955,4455.5824673707,-9418319069184,548.345744371414,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
5469,39141.4398096396,3590.89700042967,-4871532314624,20734.33955,4458.36197904048,-9494732996608,552.375165224075,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
5519,36308.2959254258,3584.10904539397,-4936872493056,21012.7133291174,4457.23976386566,-9591619321856,556.311831474304,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
5521,36308.2959254257,3583.72511354472,-4939464310784,21012.7149,4457.00422584518,-9594473545728,558.682165622711,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
5571,36308.2959254257,3581.50362429864,-4992805371904,21571.5277135458,4439.8945969976,-9734640893952,562.757685184479,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
5621,36308.2959254257,3578.81566573578,-5042155028480,21571.6825362419,4435.84439758523,-9833625419776,566.672928333283,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
